"","Athlete","Team","Score","Remark","Sex","Form","Group"
"858","CARELLA Nelso Cesar","ARG","8.87","3RD Prize","M","Nandao (Southern Broadsword)-","Group D"
"859","NGAN Lok Man","HKG","8.82","3RD Prize","M","Nandao (Southern Broadsword)-","Group D"
"860","NURMATOV Sherzod","TJK","8.67","","M","Nandao (Southern Broadsword)-","Group D"
"861","ABDULLO-ZODA Fayzullo","TJK","8.5","","M","Nandao (Southern Broadsword)-","Group D"
"862","Thierno DIBA","SEN","(DNS)","","M","Nandao (Southern Broadsword)-","Group D"
"863","MAK Sherman Shu Hang","AUS","8.66","1ST Prize","M","Dao (Broadsword)-","Group E"
"864","AVAGYAN Artashes","ARM","8.59","2ND Prize","M","Dao (Broadsword)-","Group E"
"865","TAVARES DE ALMEIDA Sergio","PRT","8.56","3RD Prize","M","Dao (Broadsword)-","Group E"
"866","ZERVAS Chrisovalantis","GRC","8.54","3RD Prize","M","Dao (Broadsword)-","Group E"
"867","KRIGGER DOS SANTOS Rodrigo","BRA","8.51","","M","Dao (Broadsword)-","Group E"
"868","COLACO DAVID Daniel Goncalo","PRT","8.5","","M","Dao (Broadsword)-","Group E"
"869","ALMEIDA DA SILVA Evandro","BRA","8.49","","M","Dao (Broadsword)-","Group E"
"870","LAMPADAS Theodoros","GRC","(DNS)","","M","Dao (Broadsword)-","Group E"
"871","CHEN Zhigang","CHN","8.73","1ST Prize","M","Other Single-Weapon Routines-","Group E"
"872","ZHENG Wu","CHN","8.72","1ST Prize","M","Other Single-Weapon Routines-","Group E"
"873","ROMERO Hrod","FRA","8.71","2ND Prize","M","Other Single-Weapon Routines-","Group E"
"874","TIAN Hongwei","CHN","8.69","2ND Prize","M","Other Single-Weapon Routines-","Group E"
"875","KANG Hongbin","CHN","8.64","2ND Prize","M","Other Single-Weapon Routines-","Group E"
"876","OCHI Kenta","JPN","8.62","2ND Prize","M","Other Single-Weapon Routines-","Group E"
"877","MINORU TANOSHI SéRgio","BRA","8.62","3RD Prize","M","Other Single-Weapon Routines-","Group E"
"878","CHUCHOLOWSKI Frederic Emanuel","DEU","8.6","3RD Prize","M","Other Single-Weapon Routines-","Group E"
"879","DIMANFA BONGIANNI Marcos","BRA","8.56","3RD Prize","M","Other Single-Weapon Routines-","Group E"
"880","OLIVEIRA SANTOS Italo Jorge","BRA","8.56","3RD Prize","M","Other Single-Weapon Routines-","Group E"
"881","SIRTO Edoardo Francesco Maria","ITA","8.55","3RD Prize","M","Other Single-Weapon Routines-","Group E"
"882","JACOBS Bernard Paul","ZAF","8.54","3RD Prize","M","Other Single-Weapon Routines-","Group E"
"883","ESCALANTE PEINADO Ivan Alberto","MEX","8.54","","M","Other Single-Weapon Routines-","Group E"
"884","PANAGOPOULOS Christos","GRC","8.52","","M","Other Single-Weapon Routines-","Group E"
"885","CORONA AGUILAR Daniel Benjamin","MEX","8.52","","M","Other Single-Weapon Routines-","Group E"
"886","MAKRIS Athanasios","GRC","8.51","","M","Other Single-Weapon Routines-","Group E"
"887","NG Chester Tse King","USA","8.49","","M","Other Single-Weapon Routines-","Group E"
"888","VAN DER MESCHT Thor","ZAF","8.46","","M","Other Single-Weapon Routines-","Group E"
"889","CHOO Hing How","MYS","8.43","","M","Other Single-Weapon Routines-","Group E"
"890","PAPACHARALAMPOUS Vasileios","GRC","8.37","","M","Other Single-Weapon Routines-","Group E"
"891","HERCZEG Andras","HUN","8.35","","M","Other Single-Weapon Routines-","Group E"
"892","1STAMATOPOULOS Grigorios","GRC","(DNS)","","M","Other Single-Weapon Routines-","Group E"
"893","Boubacar SAMBOU","SEN","(DNS)","","M","Other Single-Weapon Routines-","Group E"
"894","SHI Xiaolong","CHN","8.99","1ST Prize","M","Bajiquan-","Group D"
"895","KWOK Kwan Ho","HKG","8.77","2ND Prize","M","Bajiquan-","Group D"
"896","YUEN Kam Weng","MAC","8.75","2ND Prize","M","Bajiquan-","Group D"
"897","YERITSYAN Gevorg","ARM","8.73","3RD Prize","M","Bajiquan-","Group D"
"898","KRYSKO Viacheslav","UKR","8.7","3RD Prize","M","Bajiquan-","Group D"
"899","KALUARACHCHI Devin Tharunuwan","SGP","8.65","3RD Prize","M","Bajiquan-","Group D"
"900","SHEN Aspen Ziyang","USA","8.61","","M","Bajiquan-","Group D"
"901","GONZALEZ MARMOLEJO Luis Arturo","MEX","8.57","","M","Bajiquan-","Group D"
"902","ZEDDA Ivo","ITA","8.52","","M","Bajiquan-","Group D"
"903","THENNAKOON MUDIYANSELAGE Avishka Prasad Thennakoon","LKA","8.46","","M","Bajiquan-","Group D"
"904","SIGMON Kirk Allen","USA","8.43","","M","Bajiquan-","Group D"
"905","MURADYAN Aram","ARM","(DNS)","","M","Bajiquan-","Group D"
"906","YANG Yalin","CHN","9.1","1ST Prize","M","Chaquan-","Group D"
"907","ZHARUN Maksym","UKR","9","2ND Prize","M","Chaquan-","Group D"
"908","HO Yin Ching","HKG","8.95","2ND Prize","M","Chaquan-","Group D"
"909","DONG Xinyu","SGP","8.74","3RD Prize","M","Chaquan-","Group D"
"910","ZVIRIN Jonathan","ISR","8.73","3RD Prize","M","Chaquan-","Group D"
"911","ZHANG Alex Mushan","USA","8.66","3RD Prize","M","Chaquan-","Group D"
"912","HATALA Patrik","SVK","8.56","3RD Prize","M","Chaquan-","Group D"
"913","ZAMOLO Giuliano Isa","ROU","8.55","","M","Chaquan-","Group D"
"914","ROUCKA Michal","CZE","8.54","","M","Chaquan-","Group D"
"915","YALKIN Osman","TUR","8.52","","M","Chaquan-","Group D"
"916","DAVNAM Parth","IND","8.46","","M","Chaquan-","Group D"
"917","HUSSAIN Saddam","IND","8.4","","M","Chaquan-","Group D"
"918","WANG Qianlong","CHN","8.89","1ST Prize","M","Fanziquan-","Group D"
"919","YANG Zhiwei","CHN","8.88","2ND Prize","M","Fanziquan-","Group D"
"920","CHEN Jinsong","HKG","8.83","3RD Prize","M","Fanziquan-","Group D"
"921","GULISASHVILI David","GEO","8.65","3RD Prize","M","Fanziquan-","Group D"
"922","BARTOŠ Filip","SVK","8.58","","M","Fanziquan-","Group D"
"923","MANABE Katsumi Derek","USA","8.5","","M","Fanziquan-","Group D"
"924","CAO Shuai","CHN","8.9","1ST Prize","M","Shaolinquan-","Group D"
"925","GAMBINO Michele","ITA","8.78","1ST Prize","M","Shaolinquan-","Group D"
"926","MATHIOPOULOS Dimitrios Ioannis","GRC","8.76","1ST Prize","M","Shaolinquan-","Group D"
"927","TRAIZE Arstan","KAZ","8.7","2ND Prize","M","Shaolinquan-","Group D"
"928","KHURSHEDZODA Mirzodalerkhon","TJK","8.69","2ND Prize","M","Shaolinquan-","Group D"
"929","GU Nicolas","FRA","8.66","2ND Prize","M","Shaolinquan-","Group D"
"930","TEO Chee Wei","SGP","8.66","2ND Prize","M","Shaolinquan-","Group D"
"931","REVA Roman","UKR","8.65","2ND Prize","M","Shaolinquan-","Group D"
"932","BABENKO Alexey","KAZ","8.63","2ND Prize","M","Shaolinquan-","Group D"
"933","RESENDE DE SOUSA Bruno Miguel","PRT","8.61","3RD Prize","M","Shaolinquan-","Group D"
"934","KESKIN Ahmet Taha","TUR","8.59","3RD Prize","M","Shaolinquan-","Group D"
"935","IANA Mihail Alexandru","ROU","8.59","3RD Prize","M","Shaolinquan-","Group D"
"936","TSIKRIKAS Konstantinos","GRC","8.59","3RD Prize","M","Shaolinquan-","Group D"
"937","GRABOVSKIS Aleksejs","LVA","8.59","3RD Prize","M","Shaolinquan-","Group D"
"938","NITAS Laszló Oliver","HUN","8.58","3RD Prize","M","Shaolinquan-","Group D"
"939","IOANA Marius Andrei","ROU","8.57","3RD Prize","M","Shaolinquan-","Group D"
"940","TIBIRIÇÁ BATATA Victor Matheus","BRA","8.56","3RD Prize","M","Shaolinquan-","Group D"
"941","Devante DARNELL-HAZLE","GBR","8.55","3RD Prize","M","Shaolinquan-","Group D"
"942","ESSID Ahmed","TUN","8.55","","M","Shaolinquan-","Group D"
"943","MURSZEWSKI Maksymilian Grzegorz","POL","8.54","","M","Shaolinquan-","Group D"
"944","Connor James BLACK","GBR","8.54","","M","Shaolinquan-","Group D"
"945","JURAEV Abbos","TJK","8.54","","M","Shaolinquan-","Group D"
"946","MOUSTAFA MOUSTAFA Abbas Abbas","EGY","8.53","","M","Shaolinquan-","Group D"
"947","BELLOUMI Jihed","TUN","8.53","","M","Shaolinquan-","Group D"
"948","PETOCZ Levente","HUN","8.5","","M","Shaolinquan-","Group D"
"949","KUKARI Bonham Jayden Jimmy","ZAF","8.5","","M","Shaolinquan-","Group D"
"950","YANG Xinhua","CHN","8.49","","M","Shaolinquan-","Group D"
"951","BERRY Adam James","ZAF","8.48","","M","Shaolinquan-","Group D"
"952","VERHEYEN Jonathan","BEL","8.48","","M","Shaolinquan-","Group D"
"953","DZIECIELSKI Jakub","POL","8.46","","M","Shaolinquan-","Group D"
"954","CORREA IXTEPAN Diego Armando","MEX","8.42","","M","Shaolinquan-","Group D"
"955","SAREER KHAN Zadran","AFG","(DNS)","","M","Shaolinquan-","Group D"
"956","Mame Birane KANE","SEN","(DNS)","","M","Shaolinquan-","Group D"
"957","TABAROV Fotekh","TJK","(DNS)","","M","Shaolinquan-","Group D"
"958","LIM Giovanni Moses","PHL","8.7","1ST Prize","M","Tanglangquan (Mantis Style)-","Group D"
"959","GARCIA MAZUECOS Francisco","ESP","8.67","2ND Prize","M","Tanglangquan (Mantis Style)-","Group D"
"960","SZATAI Zoltan","HUN","8.6","3RD Prize","M","Tanglangquan (Mantis Style)-","Group D"
"961","ZEDDA Valerio","ITA","8.56","3RD Prize","M","Tanglangquan (Mantis Style)-","Group D"
"962","ANDERSSON Ted Fredrik","SWE","8.51","","M","Tanglangquan (Mantis Style)-","Group D"
"963","KOLISNYK Oleksii","UKR","8.73","1ST Prize","M","Yingzhaoquan (Eagle Style)-","Group D"
"964","LIRA LUNA Javier Arturo","MEX","8.65","2ND Prize","M","Yingzhaoquan (Eagle Style)-","Group D"
"965","LIRA ACOSTA Jesus Alfredo","MEX","8.61","3RD Prize","M","Yingzhaoquan (Eagle Style)-","Group D"
"966","GOMEZ RODRIGUEZ Angel Julian","MEX","8.6","3RD Prize","M","Yingzhaoquan (Eagle Style)-","Group D"
"967","LEZAMA LUCERO Luis Antonio","MEX","8.5","","M","Yingzhaoquan (Eagle Style)-","Group D"
"968","MOREIRA DE ARAÚJO Fabio","BRA","8.45","","M","Yingzhaoquan (Eagle Style)-","Group D"
"969","BEROUTSOS Charalampos","GRC","8.39","","M","Yingzhaoquan (Eagle Style)-","Group D"
"970","OLIINYK Andrii","UKR","(DNS)","","M","Yingzhaoquan (Eagle Style)-","Group D"
"971","HUYNH Christoph Ngoc-Son","DEU","8.76","1ST Prize","M","Xingyiquan-","Group D"
"972","CHOONG Chee Wei","MYS","8.72","2ND Prize","M","Xingyiquan-","Group D"
"973","AKYUZ Necmett?N Erbakan","TUR","8.7","2ND Prize","M","Xingyiquan-","Group D"
"974","RAJPUT Rajat","IND","8.66","3RD Prize","M","Xingyiquan-","Group D"
"975","BHATI Shivam","IND","8.65","3RD Prize","M","Xingyiquan-","Group D"
"976","DU PLESSIS Alexander Dirk","ZAF","8.54","","M","Xingyiquan-","Group D"
"977","CUI Trevan Jiaheng","USA","8.49","","M","Xingyiquan-","Group D"
"978","PODAKANTI Satyajith Chary","IND","8.46","","M","Xingyiquan-","Group D"
"979","BOUTOUBANE Yassine","DZA","(DNS)","","M","Xingyiquan-","Group D"
"980","WANG Dian","CHN","9","1ST Prize","M","Other Barehand Routines-","Group D"
"981","GAO Sen","BOL","8.95","1ST Prize","M","Other Barehand Routines-","Group D"
"982","ZHANG Yuyang","CHN","8.81","1ST Prize","M","Other Barehand Routines-","Group D"
"983","DE OLIVEIRA MANACERO Miguel","BRA","8.72","2ND Prize","M","Other Barehand Routines-","Group D"
"984","WONG Yu Wen","MYS","8.69","2ND Prize","M","Other Barehand Routines-","Group D"
"985","KOW Zer Xuan","MYS","8.67","2ND Prize","M","Other Barehand Routines-","Group D"
"986","ZHYVOTOK Heorhii","UKR","8.66","2ND Prize","M","Other Barehand Routines-","Group D"
"987","ARISTIDE Julien","FRA","8.64","2ND Prize","M","Other Barehand Routines-","Group D"
"988","JANGID Nakshatra","IND","8.63","2ND Prize","M","Other Barehand Routines-","Group D"
"989","NITAS Kevin Janos","HUN","8.61","3RD Prize","M","Other Barehand Routines-","Group D"
"990","HASHCHUK Artem","UKR","8.61","3RD Prize","M","Other Barehand Routines-","Group D"
"991","GORSKIS Aleksandrs","LVA","8.59","3RD Prize","M","Other Barehand Routines-","Group D"
"992","BALOGH Barnabas","HUN","8.57","3RD Prize","M","Other Barehand Routines-","Group D"
"993","KOJIMA Ryuhei","JPN","8.57","3RD Prize","M","Other Barehand Routines-","Group D"
"994","MURATBEK UULU Edil","KGZ","8.57","3RD Prize","M","Other Barehand Routines-","Group D"
"995","SINGH Lokender","IND","8.56","3RD Prize","M","Other Barehand Routines-","Group D"
"996","MO Don Hao","USA","8.56","3RD Prize","M","Other Barehand Routines-","Group D"
"997","DIMEGLIO Charlene Jasmine","USA","8.55","3RD Prize","M","Other Barehand Routines-","Group D"
"998","DAO Vi Dat","VNM","8.55","","M","Other Barehand Routines-","Group D"
"999","COLLADO SAIZ Francisco","ESP","8.54","","M","Other Barehand Routines-","Group D"
"1000","FLORES PACHECO Jonathan Eber","MEX","8.53","","M","Other Barehand Routines-","Group D"
"1001","AYDINYAN Aram","ARM","8.51","","M","Other Barehand Routines-","Group D"
"1002","DI BENEDETTO Claudio","ITA","8.51","","M","Other Barehand Routines-","Group D"
"1003","Brandon Lee SANDALLS","GBR","8.5","","M","Other Barehand Routines-","Group D"
"1004","TOMÁS BARROSO Tiago","PRT","8.48","","M","Other Barehand Routines-","Group D"
"1005","Daniel John Joseph SHAW-ABULAFIA","GBR","8.47","","M","Other Barehand Routines-","Group D"
"1006","LEGASPI Regin Ryan Ralleca","AUS","8.44","","M","Other Barehand Routines-","Group D"
"1007","WILCZY?SKI Maciej Bart?Omiej","POL","8.39","","M","Other Barehand Routines-","Group D"
"1008","MONYAMA Maile Elvis","ZAF","8.32","","M","Other Barehand Routines-","Group D"
"1009","SUI Tianqi","CHN","8.07","","M","Other Barehand Routines-","Group D"
"1010","PAPAEFTHYMIOU Konstantinos","GRC","7.7","","M","Other Barehand Routines-","Group D"
"1011","AKYUZ Necmett?N Erbakan","TUR","(DNS)","","M","Other Barehand Routines-","Group D"
"1012","NASR IBRAHIM Taw?k Mossad Salem","EGY","(DNS)","","M","Other Barehand Routines-","Group D"
"1013","WONG Cho Wai Gabriel","HKG","(DNS)","","M","Other Barehand Routines-","Group D"
"1014","RADULESCU Dan Mihai","ROU","(DNS)","","M","Other Barehand Routines-","Group D"
"1015","SCHUR CHEN Annie","FRA","8.62","1ST Prize","W","Other Double-Weapon Routines -","Group A/B/C"
"1016","MENA TORRES Michelle","MEX","8.58","1ST Prize","W","Other Double-Weapon Routines -","Group A/B/C"
"1017","BRAYTON Mariella Tsan-Ling","USA","8.57","1ST Prize","W","Other Double-Weapon Routines -","Group A/B/C"
"1018","MARCEL Daniela Mckenzie","USA","8.56","2ND Prize","W","Other Double-Weapon Routines -","Group A/B/C"
"1019","ZHAO Hailey Hu","USA","8.54","2ND Prize","W","Other Double-Weapon Routines -","Group A/B/C"
"1020","VAN DER MESCHT Kitana Cora","ZAF","8.52","2ND Prize","W","Other Double-Weapon Routines -","Group A/B/C"
"1021","HUANG Susie","HKG","8.52","3RD Prize","W","Other Double-Weapon Routines -","Group A/B/C"
"1022","TOUROUTSIKA Christina","GRC","8.49","3RD Prize","W","Other Double-Weapon Routines -","Group A/B/C"
"1023","LEONG Wai Lam","MAC","8.47","3RD Prize","W","Other Double-Weapon Routines -","Group A/B/C"
"1024","DING Sabrina","USA","8.45","3RD Prize","W","Other Double-Weapon Routines -","Group A/B/C"
"1025","CHEN Haoran","SGP","8.45","3RD Prize","W","Other Double-Weapon Routines -","Group A/B/C"
"1026","SHIBATA Riin","JPN","8.43","","W","Other Double-Weapon Routines -","Group A/B/C"
"1027","BANCOS Ema Alexandra","ROU","8.42","","W","Other Double-Weapon Routines -","Group A/B/C"
"1028","PANAGOPOULOY Kyriaki","GRC","8.42","","W","Other Double-Weapon Routines -","Group A/B/C"
"1029","CHONG Shin Yu","MYS","8.41","","W","Other Double-Weapon Routines -","Group A/B/C"
"1030","DUMITRU Ana Maria","ROU","8.34","","W","Other Double-Weapon Routines -","Group A/B/C"
"1031","GORDON Ayla Nunnehi","USA","(DNS)","","W","Other Double-Weapon Routines -","Group A/B/C"
"1032","AKYUZ Ayse Sude","TUR","8.7","1ST Prize","W","Shuangjian -","Group C"
"1033","WONG Man Ting","HKG","8.64","2ND Prize","W","Shuangjian -","Group C"
"1034","HUANG Sophie Qianshu","USA","8.55","3RD Prize","W","Shuangjian -","Group C"
"1035","JRIBI Chourouk","TUN","8.53","3RD Prize","W","Shuangjian -","Group C"
"1036","LY Elva Elizabeth","USA","8.51","","W","Shuangjian -","Group C"
"1037","LI Winifred Zhen Ping","USA","8.49","1ST Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1038","LIM Verna","MYS","8.48","1ST Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1039","ARUTYUNJAN Aurora","HUN","8.47","1ST Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1040","WU Kai Yee","HKG","8.42","1ST Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1041","KONG Yean Thong","MYS","8.41","2ND Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1042","KARMEN ADEL Rashad Khater","EGY","8.4","2ND Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1043","SYAIDHA Hajarah","MYS","8.38","2ND Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1044","TRAIZE Arina","KAZ","8.36","2ND Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1045","SILVA VIANA Layla Ketelen","BRA","8.35","3RD Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1046","ARUTYUNJAN Adelaida","HUN","8.34","3RD Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1047","HAO Cindy Yuan","USA","8.33","3RD Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1048","ARAUZ NIEVES Luciana","MEX","8.31","3RD Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1049","MATOS RODRIGUES Ana Carla","BRA","8.29","3RD Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1050","BREZETOU Lydia","GRC","8.27","3RD Prize","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1051","JIN Yinuo","CAN","8.25","","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1052","ILIE So?a Maria","ROU","8.21","","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1053","HUANACUNI PINEDO Pakari Nayra","BOL","8.11","","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1054","SILVA CONCEICAO Lorena","BRA","8.1","","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1055","SHEN Caitlyn","USA","6.55","","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1056","CHANDRASEKARA JAYARATHNA MUDIYANSELAGE Gimhani Akarshana Bogollagama","LKA","(DNS)","","W","Other Single/Soft-Weapon Routines-","Group A/B"
"1057","LUU Pham Thanh Thanh","VNM","8.56","1ST Prize","W","Dao (Broadsword)-","Group C"
"1058","MAXUTOVA Zarina","KAZ","8.49","2ND Prize","W","Dao (Broadsword)-","Group C"
"1059","BASSI Giulia","ITA","8.47","3RD Prize","W","Dao (Broadsword)-","Group C"
"1060","WONG Zhong Wei","MYS","8.46","3RD Prize","W","Dao (Broadsword)-","Group C"
"1061","MARRA Lara","ITA","8.45","","W","Dao (Broadsword)-","Group C"
"1062","AVAGYAN Siranush","ARM","8.44","","W","Dao (Broadsword)-","Group C"
"1063","MICHOU Despoina","GRC","8.4","","W","Dao (Broadsword)-","Group C"
"1064","PUZIS Nikol","ISR","(DNS)","","W","Dao (Broadsword)-","Group C"
"1065","BALASOVA An?sa","LVA","8.69","1ST Prize","W","Gun (Cudgel/Sta?)-","Group C"
"1066","FOTINOGIANNOPOULOU Konstantina","GRC","8.66","1ST Prize","W","Gun (Cudgel/Sta?)-","Group C"
"1067","BERIY Michal","ISR","8.65","2ND Prize","W","Gun (Cudgel/Sta?)-","Group C"
"1068","MALAK MOHAMED Omar Montasser","EGY","8.6","2ND Prize","W","Gun (Cudgel/Sta?)-","Group C"
"1069","HOANG Vy Yen Nhi","VNM","8.59","2ND Prize","W","Gun (Cudgel/Sta?)-","Group C"
"1070","SPYRIDOU Melina","GRC","8.58","3RD Prize","W","Gun (Cudgel/Sta?)-","Group C"
"1071","CHUKANOVA Kristina","UKR","8.57","3RD Prize","W","Gun (Cudgel/Sta?)-","Group C"
"1072","KOURTIDOU Ioanna Nefeli","GRC","8.55","3RD Prize","W","Gun (Cudgel/Sta?)-","Group C"
"1073","SILBERSTEIN Mia Jacquelyn","USA","8.52","3RD Prize","W","Gun (Cudgel/Sta?)-","Group C"
"1074","HAO Youyang","USA","8.51","3RD Prize","W","Gun (Cudgel/Sta?)-","Group C"
"1075","FIETZE Mila Claryssa Esselen","ZAF","8.5","","W","Gun (Cudgel/Sta?)-","Group C"
"1076","MALAK IBRAHIM Abouelmaati Mohamed","EGY","8.47","","W","Gun (Cudgel/Sta?)-","Group C"
"1077","GEORGA Eleni Anna","GRC","8.44","","W","Gun (Cudgel/Sta?)-","Group C"
"1078","?ELE?OVÁ Diana","SVK","8.42","","W","Gun (Cudgel/Sta?)-","Group C"
"1079","YU Ellany","USA","8.4","","W","Gun (Cudgel/Sta?)-","Group C"
"1080","MTSHALI Uthembekile","ZAF","8.27","","W","Gun (Cudgel/Sta?)-","Group C"
"1081","SINHALA PELI GEDARA Tanisha Keshavi Nawangi Ranasingha","LKA","7.93","","W","Gun (Cudgel/Sta?)-","Group C"
"1082","APKHAZAVA Sopiko","GEO","8.67","1ST Prize","W","Jian (Straight Sword)-","Group C"
"1083","ARZIANI Mariam","GEO","8.6","2ND Prize","W","Jian (Straight Sword)-","Group C"
"1084","FRENEKL Sasha","ISR","8.59","2ND Prize","W","Jian (Straight Sword)-","Group C"
"1085","SONOWAL Kashyapi","IND","8.52","2ND Prize","W","Jian (Straight Sword)-","Group C"
"1086","MUKHAMETOVA Aidana","KAZ","8.51","3RD Prize","W","Jian (Straight Sword)-","Group C"
"1087","ARUTYUNJAN Anna Maria","HUN","8.5","3RD Prize","W","Jian (Straight Sword)-","Group C"
"1088","COSKUN Ayse Sina","TUR","8.48","3RD Prize","W","Jian (Straight Sword)-","Group C"
"1089","MASKOVA Anna","CZE","8.47","3RD Prize","W","Jian (Straight Sword)-","Group C"
"1090","LAM Xue Ying","MYS","8.45","","W","Jian (Straight Sword)-","Group C"
"1091","RABICO VIDEIRA Maria","PRT","8.42","","W","Jian (Straight Sword)-","Group C"
"1092","LOBITZ Adel","HUN","8.39","","W","Jian (Straight Sword)-","Group C"
"1093","DABUKA GEDARA Therani Nehara Thilakarathne","LKA","8.3","","W","Jian (Straight Sword)-","Group C"
"1094","TAMPAKI Dimitra","GRC","8.26","","W","Jian (Straight Sword)-","Group C"
"1095","ZIPOR Galia","ISR","(DNS)","","W","Jian (Straight Sword)-","Group C"
"1096","JAZMIN Alag","MYS","8.56","1ST Prize","W","Nandao (Southern Broadsword)-","Group C"
"1097","ALTUN Sude Merve","TUR","8.52","2ND Prize","W","Nandao (Southern Broadsword)-","Group C"
"1098","NEDELEA Ana Maria","ROU","8.48","3RD Prize","W","Nandao (Southern Broadsword)-","Group C"
"1099","WIJESUNDARA MUDIYANSELAGE Matheesha Gimhani Wijesundara","LKA","8.46","3RD Prize","W","Nandao (Southern Broadsword)-","Group C"
"1100","HUANG Emma Mei","USA","8.4","","W","Nandao (Southern Broadsword)-","Group C"
"1101","KOGAN Erika","ISR","8.7","1ST Prize","W","Shanzi (Fan)-","Group C"
"1102","LAM Weng San","MAC","8.65","2ND Prize","W","Shanzi (Fan)-","Group C"
"1103","SPULE Estere So?ja","LVA","8.63","3RD Prize","W","Shanzi (Fan)-","Group C"
"1104","VLADAREANU Gabriela","ROU","8.56","3RD Prize","W","Shanzi (Fan)-","Group C"
"1105","NADARIO FREITAS Maria Eduarda","BRA","8.51","","W","Shanzi (Fan)-","Group C"
"1106","LY Kayla Caroling","USA","8.43","","W","Shanzi (Fan)-","Group C"
"1107","ZHANG Ashley Youran","USA","8.25","","W","Shanzi (Fan)-","Group C"
"1108","JASLYN TAN Yu Ching","MYS","(DNS)","","W","Shanzi (Fan)-","Group C"
"1109","POINT Flora","FRA","(DNS)","","W","Shanzi (Fan)-","Group C"
"1110","DING Catrina","USA","8.62","1ST Prize","W","Other Single/Soft-Weapon Routines-","Group C"
"1111","LEOW Le Yi Edda","SGP","8.59","2ND Prize","W","Other Single/Soft-Weapon Routines-","Group C"
"1112","WANG Joy Zy","USA","8.58","2ND Prize","W","Other Single/Soft-Weapon Routines-","Group C"
"1113","LOK Mai Cheng","MAC","8.57","2ND Prize","W","Other Single/Soft-Weapon Routines-","Group C"
"1114","LEE Hiu Ching","HKG","8.56","3RD Prize","W","Other Single/Soft-Weapon Routines-","Group C"
"1115","SHAW Phylicia Boxi","USA","8.54","3RD Prize","W","Other Single/Soft-Weapon Routines-","Group C"
"1116","FIALOVA Barbora","CZE","8.51","3RD Prize","W","Other Single/Soft-Weapon Routines-","Group C"
"1117","AISPURO BRINGAS Marisol Guadalupe","MEX","8.5","3RD Prize","W","Other Single/Soft-Weapon Routines-","Group C"
"1118","Lilly May WRIGHT","GBR","8.49","","W","Other Single/Soft-Weapon Routines-","Group C"
"1119","MO Emily Dongli","USA","8.48","","W","Other Single/Soft-Weapon Routines-","Group C"
"1120","RANCY HAMED Zaki Hamed","EGY","8.45","","W","Other Single/Soft-Weapon Routines-","Group C"
"1121","SHIBATA Kanon","JPN","8.41","","W","Other Single/Soft-Weapon Routines-","Group C"
"1122","KHUVINDAHANDI Shavindi Ayodhya De Silva","LKA","8.32","","W","Other Single/Soft-Weapon Routines-","Group C"
"1123","MEEGODA KANKANAMGE DON Dinari Sineli Meegoda","LKA","8.23","","W","Other Single/Soft-Weapon Routines-","Group C"
"1124","TARTUFOLI Alessia","ITA","8.67","1ST Prize","W","Dao (Broadsword)-","Group D"
"1125","ABIS Sonia","ITA","8.64","2ND Prize","W","Dao (Broadsword)-","Group D"
"1126","DOS SANTOS DE ARAÚJO Raquel","BRA","8.59","2ND Prize","W","Dao (Broadsword)-","Group D"
"1127","LE Tran Bao Tran","VNM","8.57","3RD Prize","W","Dao (Broadsword)-","Group D"
"1128","LIONTOU Ioanna","GRC","8.56","3RD Prize","W","Dao (Broadsword)-","Group D"
"1129","Patricia FERNANDES LULIA JACOB","GBR","8.51","3RD Prize","W","Dao (Broadsword)-","Group D"
"1130","PAPAGEORGOPOULOU Marina","GRC","8.49","","W","Dao (Broadsword)-","Group D"
"1131","HORVÁTH Dora Timea","HUN","8.46","","W","Dao (Broadsword)-","Group D"
"1132","TREJO ROMAN Liliana","MEX","8.43","","W","Dao (Broadsword)-","Group D"
"1133","ZHOU Lin","CHN","8.72","1ST Prize","W","Gun (Cudgel/Sta?)-","Group D"
"1134","AKYUZ Zeynep Makbule","TUR","8.68","2ND Prize","W","Gun (Cudgel/Sta?)-","Group D"
"1135","JASMINE TAY Jing Xuan","MYS","8.66","2ND Prize","W","Gun (Cudgel/Sta?)-","Group D"
"1136","KUSPANOVA Dayana","KAZ","8.62","3RD Prize","W","Gun (Cudgel/Sta?)-","Group D"
